City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Conditions
207,Nouadhibou,MR,20.931,-17.0347,76.95,66,9,21.14,clear sky
208,Longyearbyen,SJ,78.2186,15.6401,37.24,75,40,18.41,scattered clouds
209,Morros,BR,-9.4467,-46.3003,101.91,14,54,8.41,broken clouds
210,Jericho,PS,31.8667,35.45,80.67,51,0,6.93,clear sky
211,Nikolskoye,RU,59.7035,30.7861,53.8,82,84,13.38,broken clouds
212,Bambous Virieux,MU,-20.3428,57.7575,72.21,70,70,15.66,broken clouds
213,Yenagoa,NG,4.9247,6.2642,75.36,90,100,4.92,moderate rain
214,Oranjemund,NA,-28.55,16.4333,58.62,82,100,17.65,overcast clouds
215,Jalu,LY,29.0331,21.5482,77.41,33,0,9.35,clear sky
216,Uyuni,BO,-20.4597,-66.825,52.23,6,0,15.97,clear sky
217,Nakanojo,JP,36.5833,138.85,55.92,95,95,2.93,moderate rain
218,Ihosy,MG,-22.4,46.1167,68.74,66,0,9.48,clear sky
219,Manama,BH,26.2154,50.5832,87.78,74,0,8.05,clear sky
220,Krasnokamensk,RU,50.0979,118.0369,26.1,55,17,2.89,few clouds
221,Kavieng,PG,-2.5744,150.7967,81.81,75,99,16.28,light rain
222,Wanning,CN,18.8003,110.3967,78.57,89,41,7.27,scattered clouds
223,Ayan,RU,56.45,138.1667,36.05,57,99,13.62,overcast clouds
224,Basco,PH,20.4487,121.9702,82.72,76,16,15.64,few clouds
225,Diffa,NE,13.3154,12.6113,92.43,22,100,6.08,overcast clouds
226,Provideniya,RU,64.3833,-173.3,39.78,78,9,35.19,light rain
227,Mandalgovi,MN,45.7625,106.2708,36.95,30,86,4.43,overcast clouds
228,Luanda,AO,-8.8368,13.2343,74.86,81,13,11.41,few clouds
229,Maralal,KE,1.0968,36.698,64.6,60,86,11.88,overcast clouds
230,Hoquiam,US,46.9809,-123.8893,64.92,87,0,9.22,clear sky
